country,year,housing_price_index,income,mortgage_rate,unemployment,gdp,population
Bulgaria,2005,80.09,,,,27479165229.367546,7658972.0
Bulgaria,2006,91.86,2147.9701400961244,,,31630093576.019985,7601022.0
Bulgaria,2007,118.42,3486.040818832191,7.9,,40876756558.55286,7545338.0
Bulgaria,2008,147.97,4244.810307802434,8.28,,50122229453.36867,7492561.0
Bulgaria,2009,117.79,4526.025155946416,9.04,7.9,47861897131.7104,7444443.0
Bulgaria,2010,105.81,3998.874347293565,8.47,11.3,46633927271.84121,7395599.0
Bulgaria,2011,99.98,4217.200122711934,7.93,12.3,53066789566.41434,7348328.0
Bulgaria,2012,98.07,4519.889559259638,7.59,13.3,49953287842.0551,7305888.0
Bulgaria,2013,95.92,4942.223131199509,7.05,13.9,51353721384.91159,7160005.0
Bulgaria,2014,97.29,5152.878617445546,6.69,12.4,52514425251.139084,7073572.0
Bulgaria,2015,100.0,4901.831432976833,5.89,10.1,46704644706.415794,6984225.0
Bulgaria,2016,107.02,5859.494835872789,4.99,8.6,49615045276.07375,6894139.0
Bulgaria,2017,116.3,5838.531547192964,4.0,7.2,54434235596.59753,6803468.0
Bulgaria,2018,123.96,7055.936189794457,4.64,6.2,60809448161.24158,6710798.0
Bulgaria,2019,131.42,7581.552305961754,3.51,5.2,63027112845.59849,6616726.0
Bulgaria,2020,137.41,8391.96236834032,3.52,6.1,64847927342.77089,6550696.0
Bulgaria,2021,149.33,8557.112179159423,3.27,5.2,77624644174.69121,6507301.0
Bulgaria,2022,169.92,,3.11,4.2,83265661030.17943,6465097.0
Bulgaria,2023,186.67,,3.53,4.3,94023292873.77866,6446596.0
Croatia,2005,,,5.2,,41412069739.26152,4310145.0
Croatia,2006,,,4.81,,45616861271.26983,4311159.0
Croatia,2007,,,4.94,,54547371686.30361,4310217.0
Croatia,2008,124.14,,5.78,,62995026247.90045,4309705.0
Croatia,2009,117.93,8420.0,6.36,9.1,57330716940.81453,4305181.0
Croatia,2010,110.47,7842.0,6.32,11.7,54257188983.95639,4295427.0
Croatia,2011,110.66,7594.0,5.48,13.6,57857887044.79871,4280622.0
Croatia,2012,108.93,7333.0,5.46,16.1,52944266632.06272,4260368.0
Croatia,2013,104.63,7338.0,5.04,17.3,55058563967.302185,4233922.0
Croatia,2014,102.98,7725.0,5.05,17.3,54838379740.916046,4201598.0
Croatia,2015,100.0,8031.0,5.07,16.2,46918981914.042595,4151725.0
Croatia,2016,100.89,8662.0,4.78,13.0,48438657038.11277,4106867.0
Croatia,2017,104.75,9348.0,3.8,11.1,51688159979.03278,4041407.0
Croatia,2018,111.14,10243.0,3.52,8.3,56734491201.54946,3988775.0
Croatia,2019,121.1,10937.0,3.07,6.6,56549383491.40668,3949390.0
Croatia,2020,130.38,11226.0,2.93,7.4,53323056058.06031,3914206.0
Croatia,2021,139.91,12299.0,2.65,7.5,63482175950.26987,3878981.0
Croatia,2022,160.69,,2.55,6.8,65500778777.42535,3855641.0
Croatia,2023,179.88,,3.26,6.1,78774221646.9708,3859686.0
Czech Republic,2005,,6510.879054462427,3.96,,126283050748.41202,10211216.0
Czech Republic,2006,,7546.715122433138,4.18,,143737357715.66187,10238905.0
Czech Republic,2007,,8365.446949506591,4.69,,174837446103.96365,10298828.0
Czech Republic,2008,100.8,10134.415714572058,5.61,,217585763573.63403,10384603.0
Czech Republic,2009,96.9,9667.902402118405,5.61,6.7,190414132088.33875,10443936.0
Czech Republic,2010,95.2,10214.127511469705,4.9,7.3,194275173903.3684,10474410.0
Czech Republic,2011,95.3,10579.951199674664,4.04,6.7,212915028419.92706,10496088.0
Czech Republic,2012,93.9,10450.395641973835,3.52,7.0,193534165240.70978,10510785.0
Czech Republic,2013,93.9,10360.58506543495,3.26,7.0,195982411697.82947,10514272.0
Czech Republic,2014,96.2,10073.576409064497,2.56,6.1,194038382271.46838,10525347.0
Czech Republic,2015,100.0,10684.5192272444,2.33,5.1,173979082676.96548,10546059.0
Czech Republic,2016,107.2,11274.02530147222,2.07,4.0,182307806559.62387,10566332.0
Czech Republic,2017,119.7,12354.85831497379,2.11,2.9,203838489640.51965,10594438.0
Czech Republic,2018,130.0,13559.948531992046,2.49,2.2,231832971901.2571,10629928.0
Czech Republic,2019,141.9,14616.04986365407,2.62,2.0,236250672306.4684,10671870.0
Czech Republic,2020,153.9,14309.84690984691,2.22,2.6,231020887754.33313,10697858.0
Czech Republic,2021,184.2,16636.23244929797,2.27,2.8,267694897323.72797,10505772.0
Czech Republic,2022,215.3,,4.61,2.2,277684730059.51154,10672118.0
Czech Republic,2023,211.7,,5.88,2.6,317454552007.11816,10864042.0
Estonia,2005,59.01,,3.28,,12980732048.25269,1354775.0
Estonia,2006,88.22,,4.28,,15663618065.48741,1346810.0
Estonia,2007,106.54,,5.49,,20654243033.12342,1340680.0
Estonia,2008,96.29,,5.82,,22395500571.261124,1337090.0
Estonia,2009,60.47,,3.87,13.5,18063265684.912518,1334515.0
Estonia,2010,63.9,,3.5,16.6,17962406985.514957,1331475.0
Estonia,2011,69.32,,3.42,12.3,21439602531.17635,1327439.0
Estonia,2012,74.37,,2.86,9.9,21378413627.086895,1322696.0
Estonia,2013,82.29,10682.0,2.54,8.6,23414950158.29672,1317997.0
Estonia,2014,93.58,11713.0,2.43,7.3,24891233882.763496,1314545.0
Estonia,2015,100.0,12247.0,2.25,6.4,21446899930.86425,1315407.0
Estonia,2016,104.75,12913.0,2.28,6.8,22596145564.766434,1315790.0
Estonia,2017,110.51,14151.0,2.34,5.8,25271904965.58939,1317384.0
Estonia,2018,117.07,15444.0,2.59,5.4,28724822121.466724,1321977.0
Estonia,2019,125.27,16517.0,2.54,4.5,29323848868.4288,1326898.0
Estonia,2020,132.79,17208.0,2.48,6.9,29275109774.38561,1329522.0
Estonia,2021,152.78,20323.0,2.15,6.2,34225013076.937927,1330932.0
Estonia,2022,186.76,,2.68,5.6,35168510401.0668,1348840.0
Estonia,2023,197.72,,5.36,6.4,38152716843.49991,1370286.0
France,2005,84.72,,3.49,8.9,2016774690785.9165,63180854.0
France,2006,94.51,,3.71,8.9,2132432621115.5544,63622342.0
France,2007,100.57,,4.26,8.0,2443351558917.2354,64016890.0
France,2008,101.52,,4.84,7.4,2692658706258.991,64375116.0
France,2009,95.32,,4.09,9.1,2484069811917.462,64706436.0
France,2010,99.74,,3.42,9.3,2434531625749.273,65026211.0
France,2011,105.46,,3.8,9.2,2640775869671.0576,65340830.0
France,2012,104.88,,3.56,9.8,2468366528124.2515,65657659.0
France,2013,102.93,,3.19,10.3,2590791399245.2393,65997932.0
France,2014,101.36,,2.96,10.3,2632337223548.2266,66312067.0
France,2015,100.0,,2.32,10.3,2247084776431.1,66548272.0
France,2016,101.04,,1.88,10.1,2272775010194.9595,66724104.0
France,2017,104.24,,1.6,9.4,2381758857467.933,66918020.0
France,2018,107.29,,1.55,9.0,2559050215213.639,67158348.0
France,2019,110.86,,1.36,8.4,2504970033958.019,67382061.0
France,2020,116.62,29220.0,1.26,8.0,2436091970701.246,67601110.0
France,2021,123.98,30200.0,1.15,7.9,2729118996647.443,67842811.0
France,2022,131.82,,1.47,7.3,2571205086101.585,68184457.0
France,2023,131.26,,3.03,7.3,2811750596287.227,68372286.0
Germany,2005,83.3,,4.25,,2661921732372.9204,82469422.0
Germany,2006,83.0,,4.61,,2802604053376.9336,82376451.0
Germany,2007,81.2,,5.09,,3205332146386.5176,82266372.0
Germany,2008,82.3,23493.0,5.22,,3503541902515.0,82110097.0
Germany,2009,83.0,,4.26,7.3,3200261875348.903,81902307.0
Germany,2010,83.9,,3.69,6.6,3189726268093.3364,81776930.0
Germany,2011,86.8,24351.0,3.84,5.5,3517689739490.2773,80274983.0
Germany,2012,89.8,25543.0,3.06,5.1,3308764574733.75,80425823.0
Germany,2013,92.6,25956.0,2.76,4.9,3502461893286.911,80645605.0
Germany,2014,95.5,26099.0,2.49,4.7,3647681076899.9087,80982500.0
Germany,2015,100.0,26546.0,1.95,4.4,3151091612446.403,81686611.0
Germany,2016,107.5,27366.0,1.76,3.9,3253844863564.68,82348669.0
Germany,2017,114.1,28103.0,1.83,3.5,3464123496017.419,82657002.0
Germany,2018,121.7,29203.0,1.87,3.2,3730998558077.803,82905782.0
Germany,2019,128.7,30638.0,1.52,2.9,3643103210516.073,83092962.0
Germany,2020,138.7,32316.0,1.25,3.6,3626087040508.025,83160871.0
Germany,2021,154.7,,1.26,3.6,4006831797137.9175,83196078.0
Germany,2022,164.1,,2.44,3.1,3864939969960.3306,83177813.0
Germany,2023,150.3,,4.0,3.1,4197230929891.058,83287273.0
Hungary,2005,,,13.3,,104050378565.25468,10087065.0
Hungary,2006,,5236.588965412851,11.2,,106355782499.1679,10071370.0
Hungary,2007,98.91,5708.394668788542,9.8,,128913460744.6227,10055780.0
Hungary,2008,101.26,6250.180907319788,10.8,,145570004642.2913,10038188.0
Hungary,2009,95.95,5576.97356686762,11.5,9.7,120342845790.06721,10022650.0
Hungary,2010,93.66,6062.57078553797,10.6,10.8,121346838261.87273,10000023.0
Hungary,2011,90.45,6247.0093424490815,10.4,10.7,130375780557.55858,9971727.0
Hungary,2012,87.1,5944.404494382023,10.5,10.7,118192648114.76135,9920362.0
Hungary,2013,84.87,6051.402970997407,9.6,9.8,124794369476.29544,9872734.0
Hungary,2014,88.43,6036.785332512714,8.5,7.5,129838400699.33534,9833038.0
Hungary,2015,100.0,6322.0,6.2,6.6,115224596493.42589,9797755.0
Hungary,2016,113.38,6516.285640893912,5.4,5.0,118664875996.06956,9759755.0
Hungary,2017,127.24,7106.762831915651,4.6,4.0,131868291072.51305,9726756.0
Hungary,2018,145.5,7637.197779798677,4.4,3.6,148289915732.7282,9706964.0
Hungary,2019,170.17,8455.588687365509,4.45,3.3,151741747471.27264,9694824.0
Hungary,2020,178.58,7983.729537366548,4.5,4.1,145791008733.86035,9670419.0
Hungary,2021,208.04,9051.082226932947,4.45,4.0,168620070605.24713,9630932.0
Hungary,2022,254.52,,4.85,3.6,162842374100.62262,9605074.0
Hungary,2023,272.54,,5.55,4.1,196181091303.8762,9592186.0
Italy,2005,,19844.0,3.73,,1715783680383.902,58166682.0
Italy,2006,,20777.0,4.87,,1801878562034.7888,58399861.0
Italy,2007,,21341.0,5.72,,2044722179477.438,58756247.0
Italy,2008,,21498.0,5.09,,2224107741052.215,59211181.0
Italy,2009,,21788.0,2.88,7.9,2032725573491.638,59555454.0
Italy,2010,118.1,21634.0,2.97,8.5,1973341354172.2002,59819407.0
Italy,2011,119.7,21716.0,4.03,8.5,2122416098655.9534,60026841.0
Italy,2012,116.7,21142.0,3.69,10.9,1930095135511.9456,60191247.0
Italy,2013,109.1,20921.0,3.5,12.4,1980967535386.1433,60311613.0
Italy,2014,104.0,20897.0,2.83,12.9,1999395067346.973,60320707.0
Italy,2015,100.0,21282.0,2.5,12.0,1697793804931.9722,60229605.0
Italy,2016,100.3,21655.0,2.02,11.7,1736142293122.7756,60115223.0
Italy,2017,99.2,22304.0,1.9,11.3,1813063232217.9333,60002252.0
Italy,2018,98.6,22588.0,1.89,10.6,1931480445141.9763,60148658.0
Italy,2019,98.5,23512.0,1.44,9.9,1858038252856.8477,59729081.0
Italy,2020,100.4,23294.0,1.25,9.3,1754882606552.8916,59438851.0
Italy,2021,103.0,24692.0,1.4,9.5,2004871151708.403,59133173.0
Italy,2022,106.9,,3.01,8.1,1935742219893.9033,59013667.0
Italy,2023,108.3,,4.42,7.7,2131389759386.526,58984216.0
Lithuania,2005,,1070.725331637499,3.32,,24016790546.087868,3322528.0
Lithuania,2006,94.25,1437.3841519925859,4.06,,27706897327.142666,3269909.0
Lithuania,2007,119.06,1784.0593141797963,5.4,,36550819485.49539,3231294.0
Lithuania,2008,129.76,2078.3132530120483,5.83,,44004753870.92052,3198231.0
Lithuania,2009,90.92,1728.741890639481,4.17,13.8,34494829635.8076,3162916.0
Lithuania,2010,84.2,1566.8443002780352,3.7,17.8,33707078251.339157,3097282.0
Lithuania,2011,89.77,1805.201575532901,3.71,15.4,39731581713.76745,3028115.0
Lithuania,2012,89.56,1984.4763670064876,2.97,13.4,39292622301.51369,2989139.0
Lithuania,2013,90.65,2104.3790546802597,2.39,11.8,42599367588.27993,2961250.0
Lithuania,2014,96.47,2316.380908248378,2.15,10.7,44442022924.373856,2937253.0
Lithuania,2015,100.0,8609.0,1.88,9.1,38217678431.82759,2911109.0
Lithuania,2016,105.4,9227.0,1.95,7.9,39533089305.430916,2877325.0
Lithuania,2017,114.8,10194.0,2.01,7.1,43936223347.770325,2842639.0
Lithuania,2018,123.18,11333.0,2.22,6.2,49920851536.65423,2819200.0
Lithuania,2019,131.61,12683.0,2.37,6.3,50712300927.73232,2811089.0
Lithuania,2020,141.18,14258.0,2.33,8.5,52819075450.610054,2810369.0
Lithuania,2021,163.84,15151.0,2.16,7.1,61674335328.25047,2808380.0
Lithuania,2022,195.05,,2.78,6.0,65351173739.799805,2831639.0
Lithuania,2023,214.2,,5.45,6.9,73406687222.87466,2871585.0
Netherlands,2005,106.3,,3.76,,633083003664.9332,16319868.0
Netherlands,2006,110.82,,4.38,,678586475666.2582,16346101.0
Netherlands,2007,116.18,,4.97,,785219504002.7479,16381696.0
Netherlands,2008,118.74,,5.34,,881269440758.0935,16445593.0
Netherlands,2009,113.46,,4.86,5.4,808637885289.0154,16530388.0
Netherlands,2010,111.48,,4.52,6.1,784267783838.6682,16615394.0
Netherlands,2011,109.27,27300.0,4.55,6.0,840089482026.0721,16693074.0
Netherlands,2012,101.96,27100.0,4.27,6.8,778033895700.375,16754962.0
Netherlands,2013,95.81,28900.0,3.78,8.2,813235415886.1355,16804432.0
Netherlands,2014,96.61,30100.0,3.37,8.4,829431981615.9497,16865008.0
Netherlands,2015,100.0,29800.0,2.95,7.9,713684181278.5153,16939923.0
Netherlands,2016,105.29,31000.0,2.56,7.0,733390833346.6942,17030314.0
Netherlands,2017,113.81,31800.0,2.41,5.9,780374854818.2134,17131296.0
Netherlands,2018,124.4,32500.0,2.38,4.9,855354911813.1132,17231624.0
Netherlands,2019,133.38,34900.0,2.18,4.4,854590765130.3516,17344874.0
Netherlands,2020,144.07,35500.0,1.81,4.9,857955992765.0765,17441500.0
Netherlands,2021,164.94,37100.0,1.63,4.2,970114353573.6321,17533044.0
Netherlands,2022,186.84,38800.0,2.34,3.5,962817533744.7489,17700982.0
Netherlands,2023,183.26,,4.03,3.6,1044637798146.92,17877117.0
Spain,2005,,,3.22,,1062294147633.8096,43653155.0
Spain,2006,135.5,,4.05,,1160898948613.2668,44397319.0
Spain,2007,148.79,17489.0,5.1,,1358606574706.1492,45226803.0
Spain,2008,146.66,20641.0,5.67,,1505226211803.5,45954106.0
Spain,2009,136.97,20388.0,3.25,17.9,1376860583579.8472,46362946.0
Spain,2010,134.55,19466.0,2.53,19.9,1313749952603.3364,46576897.0
Spain,2011,124.27,18993.0,3.37,21.4,1368563166501.95,46742697.0
Spain,2012,105.9,18340.0,3.3,24.8,1224515226736.6853,46773055.0
Spain,2013,96.24,17901.0,3.04,26.1,1253211969305.038,46604197.0
Spain,2014,96.54,17818.0,2.96,24.5,1269824996453.0032,46460733.0
Spain,2015,100.0,18264.0,2.24,22.1,1109671595348.8706,46422303.0
Spain,2016,104.62,19002.0,2.01,19.6,1143574414483.7505,46458139.0
Spain,2017,111.1,19623.0,1.95,17.2,1216013761713.3237,46571232.0
Spain,2018,118.58,20036.0,1.97,15.3,1317111384580.8953,46782011.0
Spain,2019,124.71,21121.0,1.99,14.1,1291216676671.3684,47118501.0
Spain,2020,127.5,20978.0,1.73,15.5,1186601130013.5132,47359424.0
Spain,2021,132.19,22439.0,1.49,14.9,1344345309704.4749,47443821.0
Spain,2022,141.98,,1.97,13.0,1332942605734.0906,47786102.0
Spain,2023,147.69,,3.75,12.2,1489923422262.0688,48352528.0
Sweden,2005,52.04,,2.5,7.9,360353379454.30927,9029572.0
Sweden,2006,58.46,,3.59,7.2,388726122902.6048,9080505.0
Sweden,2007,65.74,,4.58,6.3,450843966384.56573,9148092.0
Sweden,2008,66.47,,5.25,6.3,473444972766.3057,9219637.0
Sweden,2009,68.57,,2.06,8.5,399566777287.0991,9298515.0
Sweden,2010,73.97,,2.39,8.7,453330825460.29126,9378126.0
Sweden,2011,75.87,,3.87,7.9,524895494652.894,9449213.0
Sweden,2012,76.83,,3.48,8.1,505760500682.71686,9519374.0
Sweden,2013,80.79,35127.89689649193,2.75,8.1,537395324869.6457,9600379.0
Sweden,2014,88.4,34569.324613947356,2.24,8.0,531509545919.3083,9696110.0
Sweden,2015,100.0,34965.200192441334,1.66,7.5,461474163758.672,9799186.0
Sweden,2016,108.24,35597.059848556855,1.6,7.1,472013647914.86395,9923085.0
Sweden,2017,115.43,35717.74034519621,1.58,6.8,492358568241.9875,10057698.0
Sweden,2018,114.35,34296.618348069365,1.5,6.5,505677396519.7275,10175214.0
Sweden,2019,117.19,34138.31203785024,1.52,6.9,488422594534.8646,10278887.0
Sweden,2020,122.11,34737.62017396612,1.48,8.5,500724414975.54376,10353442.0
Sweden,2021,134.46,37997.63465234317,1.35,8.9,581157864796.714,10415811.0
Sweden,2022,139.25,38488.93655452698,2.34,7.5,529065538629.64734,10486941.0
Sweden,2023,132.05,,4.34,7.7,532671642026.3844,10536632.0
